name,min_salary,max_salary,currency,url,cite
Django Python разработчик (middle+),1500.0,3000.0,USD,https://novosibirsk.hh.ru/vacancy/76262354?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Преподаватель Программирования Python (Yandex лицей),,,,https://novosibirsk.hh.ru/vacancy/69755020?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Автор работ по программированию Python,,90000.0,руб.,https://novosibirsk.hh.ru/vacancy/76611770?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
"Python - разработчик (Middle), удаленно",,,,https://novosibirsk.hh.ru/vacancy/76112984?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
"Педагог программирования для детей (Scratch, Minecraft, Python)",200000.0,,KZT,https://novosibirsk.hh.ru/vacancy/76355585?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
"Преподаватель программирования Python, Unity, Scratch, Roblox",15000.0,40000.0,руб.,https://novosibirsk.hh.ru/vacancy/76234508?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Преподаватель онлайн-курсов Python-разработчик,,,,https://novosibirsk.hh.ru/vacancy/76339591?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Python Developer (Middle),,,,https://novosibirsk.hh.ru/vacancy/76116978?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Backend Developer (Python),,,,https://novosibirsk.hh.ru/vacancy/76232344?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Инженер по автоматизации (Go/Python/Java),,,,https://novosibirsk.hh.ru/vacancy/76070273?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
QA Engineer (Python + pytest),,,,https://novosibirsk.hh.ru/vacancy/76276108?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Системный аналитик на Web-интеграции python,,,,https://novosibirsk.hh.ru/vacancy/76075982?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Backend QA Engineer (Python + pytest),,,,https://novosibirsk.hh.ru/vacancy/76094048?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Программист Python,,,KZT,https://novosibirsk.hh.ru/vacancy/77063606?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
"Python developer (Стажер, Web разработка)",,,,https://novosibirsk.hh.ru/vacancy/77097108?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Backend Python Developer,200000.0,400000.0,KZT,https://novosibirsk.hh.ru/vacancy/77112750?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Преподаватель по программированию Python,3500.0,7000.0,KZT,https://novosibirsk.hh.ru/vacancy/77035339?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Преподаватель по Python,,,сум,https://novosibirsk.hh.ru/vacancy/77119635?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Python developer,,,сум,https://novosibirsk.hh.ru/vacancy/76814302?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Middle/Senior Python Developer,7000.0,10000.0,бел. руб.,https://novosibirsk.hh.ru/vacancy/76932144?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Middle+ Python developer,,,,https://novosibirsk.hh.ru/vacancy/76909965?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Back-end разработчик (python),,,,https://novosibirsk.hh.ru/vacancy/76489365?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Python разработчик / учитель,120000.0,150000.0,руб.,https://novosibirsk.hh.ru/vacancy/76834558?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Python Senior Developer,,,,https://novosibirsk.hh.ru/vacancy/76141967?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
QA engineer Auto (Python),,,,https://novosibirsk.hh.ru/vacancy/73779122?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
