names,prices,urls
Смартфон OPPO A55 4/64Gb Light blue,14990.0,https://www.mvideo.ru/products/smartfon-oppo-a55-4-64gb-light-blue-400050153
Смартфон Apple iPhone 14 Plus 128GB Blue,93990.0,https://www.mvideo.ru/products/smartfon-apple-iphone-14-plus-128gb-blue-400038739
"Смартфон Samsung Galaxy S22 (SM-S901E) 8/128 GB, Phantom White",58490.0,https://www.mvideo.ru/products/smartfon-samsung-galaxy-s22-sm-s901e-8-128-gb-phantom-white-400016333
Смартфон Apple iPhone 14 128GB Purple,82490.0,https://www.mvideo.ru/products/smartfon-apple-iphone-14-128gb-purple-400033070
Смартфон Apple iPhone 14 128GB Starlight,82490.0,https://www.mvideo.ru/products/smartfon-apple-iphone-14-128gb-starlight-400033043
Смартфон Apple iPhone 14 Pro 128GB Deep Purple,113990.0,https://www.mvideo.ru/products/smartfon-apple-iphone-14-pro-128gb-deep-purple-400027365
Смартфон Apple iPhone 14 Plus 256GB Purple,98990.0,https://www.mvideo.ru/products/smartfon-apple-iphone-14-plus-256gb-purple-400038750
Смартфон Apple iPhone 14 Plus 128GB Starlight,93990.0,https://www.mvideo.ru/products/smartfon-apple-iphone-14-plus-128gb-starlight-400038745
Смартфон Samsung Galaxy M23 5G 6/128Gb Green (SM-M236BZGHMEA),20690.0,https://www.mvideo.ru/products/smartfon-samsung-galaxy-m23-5g-6-128gb-green-sm-m236bzghmea-400031891
Смартфон Samsung Galaxy A53 5G 8/256Gb Black (SM-A536EZKHMEA),32490.0,https://www.mvideo.ru/products/smartfon-samsung-galaxy-a53-5g-8-256gb-black-sm-a536ezkhmea-400031540
Смартфон Apple iPhone 14 Pro Max 256GB Deep Purple,134990.0,https://www.mvideo.ru/products/smartfon-apple-iphone-14-pro-max-256gb-deep-purple-400081943
Смартфон Samsung Galaxy S22 Ultra 256GB Phantom Black (SM-S908E/DS),95990.0,https://www.mvideo.ru/products/smartfon-samsung-galaxy-s22-ultra-256gb-phantom-black-sm-s908e-ds-400018820
Смартфон Samsung Galaxy S22+ 5G 256GB Phantom White (SM-S906E/DS),81990.0,https://www.mvideo.ru/products/smartfon-samsung-galaxy-s22-5g-256gb-phantom-white-sm-s906e-ds-400018828
Смартфон Apple iPhone 14 Pro Max 1 ТБ Space Black,189990.0,https://www.mvideo.ru/products/smartfon-apple-iphone-14-pro-max-1-tb-space-black-400081954
Смартфон Xiaomi Redmi Note 10S 8/128GB White,19590.0,https://www.mvideo.ru/products/smartfon-xiaomi-redmi-note-10s-8-128gb-white-400060398
Смартфон Samsung Galaxy S23 Ultra 256GB Cream,114990.0,https://www.mvideo.ru/products/smartfon-samsung-galaxy-s23-ultra-256gb-cream-400083911
Смартфон Apple iPhone 14 256GB Midnight,96590.0,https://www.mvideo.ru/products/smartfon-apple-iphone-14-256gb-midnight-400033077
Смартфон Apple iPhone 14 Pro Max 256GB Space Black,134990.0,https://www.mvideo.ru/products/smartfon-apple-iphone-14-pro-max-256gb-space-black-400081904
Смартфон Xiaomi Redmi Note 10S 8/128GB Grey,19590.0,https://www.mvideo.ru/products/smartfon-xiaomi-redmi-note-10s-8-128gb-grey-400060401
Смартфон Apple iPhone 14 Pro 256GB Deep Purple,126990.0,https://www.mvideo.ru/products/smartfon-apple-iphone-14-pro-256gb-deep-purple-400027327
Смартфон HTC Wildfire E Lite 2/16GB Black,5890.0,https://www.mvideo.ru/products/smartfon-htc-wildfire-e-lite-2-16gb-black-400052475
"Смартфон Nubia RedMagic 7, 12G/128G/Balck",59990.0,https://www.mvideo.ru/products/smartfon-nubia-redmagic-7-12g-128g-balck-400073503
Смартфон Xiaomi 12 Lite 8/256Gb Black,42990.0,https://www.mvideo.ru/products/smartfon-xiaomi-12-lite-8-256gb-black-400084154
Смартфон Black Shark 5 Pro 12/256GB Black,59990.0,https://www.mvideo.ru/products/smartfon-black-shark-5-pro-12-256gb-black-400055898
Смартфон Samsung Galaxy S23 Ultra 256GB Beige,111990.0,https://www.mvideo.ru/products/smartfon-samsung-galaxy-s23-ultra-256gb-beige-400083418
"Как новый Смартфон Apple iPhone 11 Pro 64GB Silver,идеальный",42490.0,https://www.mvideo.ru/products/kak-novyi-smartfon-apple-iphone-11-pro-64gb-silveridealnyi-4195111
"Как новый Смартфон Apple iPhone 11 Pro 64GB Space Gray,идеальный",42490.0,https://www.mvideo.ru/products/kak-novyi-smartfon-apple-iphone-11-pro-64gb-space-grayidealnyi-4195108
"Как новый Смартфон Apple iPhone 11 128GB Yellow,идеальный",38990.0,https://www.mvideo.ru/products/kak-novyi-smartfon-apple-iphone-11-128gb-yellowidealnyi-4195125
